Date,price
2023-03-23,39.44
2023-03-24,42.98
2023-03-25,42.98
2023-03-26,42.98
2023-03-27,41.46
2023-03-28,43.29
2023-03-29,43.29
2023-03-30,42.98
2023-03-31,43.25
2023-04-01,43.25
2023-04-02,43.25
2023-04-03,47.82
2023-04-04,52.16
2023-04-05,47.3
2023-04-06,45.52
2023-04-07,45.52
2023-04-08,45.52
2023-04-09,45.52
2023-04-10,45.52
2023-04-11,43.24
2023-04-12,44.18
2023-04-13,44.06
2023-04-14,43.03
2023-04-15,43.03
2023-04-16,43.03
2023-04-17,41.58
2023-04-18,41.67
2023-04-19,42.79
2023-04-20,40.23
2023-04-21,41.02
2023-04-22,41.02
2023-04-23,41.02
2023-04-24,40.42
2023-04-25,39.88
2023-04-26,40.12
2023-04-27,38.88
2023-04-28,39.25
2023-04-29,39.25
2023-04-30,39.25
2023-05-01,39.25
2023-05-02,38.32
2023-05-03,37.35
2023-05-04,36.41
2023-05-05,35.09
2023-05-06,35.09
2023-05-07,35.09
2023-05-08,35.09
2023-05-09,35.96
2023-05-10,35.87
2023-05-11,35.13
2023-05-12,34.38
2023-05-13,34.38
2023-05-14,34.38
2023-05-15,31.64
2023-05-16,31.18
2023-05-17,31.82
2023-05-18,31.43
2023-05-19,29.52
2023-05-20,29.52
2023-05-21,29.52
2023-05-22,28.98
2023-05-23,28.36
2023-05-24,29.16
2023-05-25,27.59
2023-05-26,25.1
2023-05-27,25.1
2023-05-28,25.1
2023-05-29,25.1
2023-05-30,24.2
2023-05-31,25.22
2023-06-01,25.78
2023-06-02,23.2
2023-06-03,23.2
2023-06-04,23.2
2023-06-05,23.59
2023-06-06,28.65
2023-06-07,25.47
2023-06-08,26.48
2023-06-09,26.91
2023-06-10,26.91
2023-06-11,26.91
2023-06-12,31.82
2023-06-13,30.3
2023-06-14,35.55
2023-06-15,38.06
2023-06-16,41.1
2023-06-17,41.1
2023-06-18,41.1
2023-06-19,34.2
2023-06-20,34.85
2023-06-21,38.12
2023-06-22,37.59
2023-06-23,34.12
2023-06-24,34.12
2023-06-25,34.12
2023-06-26,32.46
2023-06-27,32.6
2023-06-28,34.98
2023-06-29,34.58
2023-06-30,34.46
2023-07-01,34.46
2023-07-02,34.46
2023-07-03,36.62
2023-07-04,34.0
2023-07-05,34.7
2023-07-06,33.93
2023-07-07,31.89
2023-07-08,31.89
2023-07-09,31.89
2023-07-10,32.56
2023-07-11,29.74
2023-07-12,28.59
2023-07-13,26.54
2023-07-14,26.1
2023-07-15,26.1
2023-07-16,26.1
2023-07-17,25.07
2023-07-18,25.0
2023-07-19,26.98
2023-07-20,26.44
2023-07-21,27.94
2023-07-22,27.94
2023-07-23,27.94
2023-07-24,27.38
2023-07-25,29.94
2023-07-26,32.32
2023-07-27,28.88
2023-07-28,28.03
2023-07-29,28.03
2023-07-30,28.03
2023-07-31,25.26
2023-08-01,26.9
2023-08-02,26.1
2023-08-03,27.53
2023-08-04,29.9
2023-08-05,29.9
2023-08-06,29.9
2023-08-07,28.58
2023-08-08,29.47
2023-08-09,29.44
2023-08-10,37.62
2023-08-11,34.67
2023-08-12,34.67
2023-08-13,34.67
2023-08-14,31.58
2023-08-15,31.85
2023-08-16,36.22
2023-08-17,35.02
2023-08-18,33.29
2023-08-19,33.29
2023-08-20,33.29
2023-08-21,34.03
2023-08-22,39.54
2023-08-23,42.84
2023-08-24,36.67
2023-08-25,31.85
2023-08-26,31.85
